Label(number),Label,Text
3,sadness,Dm for your permanent blue check 🔵🔵✔️☑️
4,surprise,A single sided front end would be cool 🤔
4,surprise,That is one nice looking race bike!! 😍
2,joy,Omg those shipping boxes are so handy🙌
4,surprise,Milan? i look forward for IT !!! ⚡️ 🔋
2,joy,Hi... How can i buy this amazing bike.
3,sadness,Hello Africa! Tell me how you’re doin!
3,sadness,Need a reseller in southern Germany??
2,joy,This is so Awesome.. 👏🏼👏🏼👏🏼👏🏼
2,joy,The best for a crucial topic! 🔥🔥🔥
6,trust,Using your SUPER POWERS for GOOD! 💥
2,joy,These all after market for the Kalk?
1,fear,Y'all looking to sell in Australia?
4,surprise,will these be available to purchase
2,joy,sublimely simple... want want want!
4,surprise,Wow how long to charge from solar?
3,sadness,Very nice how much? -Borat voice
6,trust,VILKEN KILLE!!! And what a bike!!!
6,trust,Those bikes rock ⚡️ Good job guys!
2,joy,That’s awesome!  And 🖕🏾poachers
2,joy,Can’t get enough of this ride 🔥
4,surprise,Can’t wait to get my OSA+ 🔥🔥🔥
2,joy,There are shipping to indonesia?
2,joy,Do you ship to Switzerland? 🇨🇭
3,sadness,Poachers wont hear whats coming!
2,joy,Só presta a suspensão dianteira
2,joy,Can you ride this on a sidewalk
2,joy,Oh that’s my race bike 😍⚡️✊🏻
6,trust,What about Switzerland 🇨🇭..?
2,joy,Woho I like acceleration 😎⚡️
2,joy,Wheelies in Portugal 🇵🇹 🙌🔥
4,surprise,Can you register this for A1?
0,anger,Poach the poachers. 🏃 🔫🏍⚡️
2,joy,That’s a damn beauty!!! 🔥❤️
4,surprise,Test drive in Latin America?
6,trust,Do you guys ship to Brazil?
1,fear,Try  to be your ambassador
1,fear,This location is dreams 😍
2,joy,Brilliant!!! Good job guys
6,trust,Love you people even more.
2,joy, nice Gravity jacket 👌🤩
7,disgust,Like made for space... 🚀
2,joy,Nice bike. But is very 💰
6,trust,Best throttle in the biz!
4,surprise,Televerksgubbar på bågar?
4,surprise,Fantastic initiative  ⚡️
3,sadness,Kindly check ur inbox 📥
4,surprise,What about southamerica?
2,joy,Es increible qusiera una
2,joy,#explorewithrespect 👏🌎
2,joy,Harambe would approve 🔥
4,surprise,Lemme get one in China😍
2,joy,This one looks great 👏
7,disgust,Whats the tan material?
3,sadness,Wanted one for years 😭
6,trust,Do you ship to Ecuador?
2,joy,Rocking the racks!!🙌😍
2,joy,Zero emission commutes!
6,trust,Excellent executed  🙌
4,surprise,beautiful details 🤍💭
2,joy, meet my next ex-bike
0,anger,Covid-19 has cost a lot of financial crisis as everyone is on a total lockdown in job and we all asked to stayed at home till the environment is safe. I and my family was almost out of cash due to no job till I meet Mrs Teresa investment program online and now We earn over $140 900 weekly. I'm so happy because my bad situation has turned to good and I can now go for whatever I want till the lockdown process is over. If you’re interested contact him   . .#blacklivesmatter  .#blackouttuesday
4,surprise,This is wonderful beyond expectations I still can't believe what happened to me I'm so happy because of Mr  is such a wonderful trader you're indeed God sent thanks for sending my profit sir I appreciate I can now take care of my family before my salary finally arrives I still can't believe my eyes reach him through 👇👇👇  #blacklivesmatter  #blackouttuesday
2,joy,𝙸 𝚕𝚞𝚌𝚔𝚒𝚕𝚢 𝚜𝚝𝚞𝚖𝚋𝚕𝚎𝚍 𝚘𝚗 𝙼𝚜 𝙰𝚖𝚎𝚕𝚒𝚊  𝚠𝚑𝚘 𝚑𝚎𝚕𝚙𝚎𝚍 𝚖𝚎 𝚒𝚗 𝙱𝚒𝚝𝚌𝚘𝚒𝚗 𝚝𝚛𝚊𝚍𝚎 𝚠𝚒𝚝𝚑 𝚘𝚟𝚎𝚛 £𝟺𝟻 𝟶𝟶𝟶 𝚙𝚛𝚘𝚏𝚒𝚝. 𝚈𝚘𝚞 𝚝𝚘𝚘 𝚌𝚊𝚗 𝚊𝚕𝚜𝚘 𝚎𝚊𝚛𝚗 𝚐𝚘𝚘𝚍 𝚙𝚛𝚘𝚏𝚒𝚝𝚜 𝚠𝚒𝚝𝚑 𝚑𝚎𝚛 𝚜𝚘𝚏𝚝𝚠𝚊𝚛𝚎 𝚊𝚗𝚍 𝚜𝚝𝚛𝚊𝚝𝚎𝚐𝚢.
1,fear, is it sad that I'm more impressed with these tiny boxes than the diamonds? I'm sure you're not surprised 😂
6,trust,So Sweet how the cat was there watching too! CONGRATULATIONS so adorable 💖🌹😍😙🎉🎉🎉
6,trust,#2 is beautiful but i dont like the band a simple diamond band would have been perfect
6,trust,Love them all. Beautiful settings but I’m thinking #1 if I had to pick. Tough choice!
4,surprise,.shem ang cute ng lalagyan ❤️ lalagyan haa lalagyan baka kung ano isipin mo 😂
4,surprise,Antique box that beautiful needs something a little more exquisite and unique!
3,sadness,I have 10 fingers.  You're showing 5 rings.  I can spread them out!!!❤️ ❤️❤️
2,joy,The first ring is calling out to me that is me and that ring forever
3,sadness,Can I just have all the ring holders and boxes please? ❤️😍
4,surprise,What a sweet sneaky guy.  Congratulations to you both. ❤️🙌
0,anger,Hahaha he needed that sip for courage first 😂❤️❤️❤️❤️
2,joy,1 and 5 🔥🔥 They are all very beautiful though 🙌❤️
2,joy,Omg gigantic diamonds rings!!!!! 😍😍😍😍😍😍😍😍😍😍
1,fear,Such an awesome way to propose! Congratulations 💕🥂
0,anger, I’ll take 1 2 or 3 or even 4 or 5 at this point...
6,trust,Pretty cute! Do they need a wedding photographer?!
2,joy,Twinkle twinkle diamond star ⭐️ 1&3 best by far 💝
4,surprise,If you were a proposal this would be you. .higby
1,fear,.gold.silver please a3ml zy el rings dy 🥰🥺
2,joy,these rings are absolutely stunning 🤩😍
6,trust, which one do you think is my favorite?
6,trust,I absolutely love this!!!!!😍😍😍❤️❤️❤️
2,joy,....... but all rings are beautiful!❤️
6,trust,That is so beautiful I love it Brenda
2,joy,Try this dance w Zack ... JACI ! 😂
2,joy,Anddddd the cat could care less 😂
6,trust,The ring boxes are so beautiful xx
1,fear,.grupa is this your dream? 😂😂😂
6,trust,Antique beauty. Treasure forever.
6,trust,All of them beautiful 😍❤️love it
6,trust,🙌 Crown Ring! Fantastic Company
6,trust,They are all so beautiful 😍😍😍
6,trust,Loving all those beautiful sets
3,sadness,These ring boxes are a dream ❤️
6,trust,Fresh cut flowers are the best.
6,trust, olha amor bem simplizinho kkk
4,surprise, jamais tu arrives à l’ouvrir
0,anger,  the second one is just 😍😍
2,joy,ALL OF THEM SIMPLY BEAUTIFUL
6,trust,1... absolutely breathtaking
2,joy, thank you for the mention!
2,joy, practise with braydssss 😜
6,trust,Omg I absolutely love #4 😍
3,sadness,2 and 5 take my breath away
6,trust,I love them all ❤️❤️❤️❤️❤️
4,surprise,#1 how much is that ring?
2,joy, never settle for less 😍
2,joy,Oh me they’re precious ❤️
6,trust,So cute I could just melt
1,fear,please visit my page❤🙏🏻
3,sadness,First and the last ❤️❤️😍
6,trust,Gorgeous all of them 😍👏
2,joy,Such a pretty ring 💍😍💕
4,surprise,.werz I like the setting
6,trust,Love these rings!!❤️❤️❤️
2,joy,Exquisitely designed ❤️
2,joy,Love me some tulips! ❤️
4,surprise,Wow that's beautiful!!
2,joy,How huch for 1 bro ???
2,joy,So beautiful❤️❤️❤️❤️❤️
